Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Python Developer,"Austin, TX","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",51410,56903,62936,67027,70751
Python Developer,"Jacksonville, FL","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",49125,54374,60139,64048,67607
Python Developer,"Fort Worth, TX","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",50579,55984,61919,65944,69608
Python Developer,"Columbus, OH","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",50995,56443,62428,66485,70180
Python Developer,"Charlotte, NC","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",50372,55754,61665,65673,69322
Python Developer,"San Francisco, CA","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",64912,71848,79465,84630,89333
Python Developer,"Indianapolis, IN","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",50528,55926,61856,65876,69536
Python Developer,"Seattle, WA","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",57278,63398,70120,74678,78827
Python Developer,"Denver, CO","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",52864,58513,64716,68923,72752
Python Developer,"Washington, DC","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",57798,63973,70756,75355,79542
Python Developer,"Boston, MA","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",58213,64433,71264,75896,80113
Python Developer,"El Paso, TX","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",45231,50063,55371,58970,62247
Python Developer,"Nashville, TN","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",48918,54144,59885,63777,67321
Python Developer,"Detroit, MI","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",52345,57938,64081,68246,72038
Python Developer,"Oklahoma City, OK","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",47412,52477,58041,61814,65248
Python Developer,"Portland, OR","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",54111,59892,66242,70548,74468
Python Developer,"Las Vegas, NV","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",52449,58053,64208,68381,72181
Python Developer,"Memphis, TN","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",48658,53857,59567,63439,66964
Python Developer,"Louisville, KY","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",49645,54949,60775,64725,68322
Python Developer,"Baltimore, MD","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",53384,59087,65352,69600,73467
Python Developer,"Milwaukee, WI","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",51618,57133,63191,67298,71037
Python Developer,"Albuquerque, NM","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",48814,54029,59758,63642,67178
Python Developer,"Tucson, AZ","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",49281,54547,60330,64251,67821
Python Developer,"Fresno, CA","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",52034,57593,63699,67839,71609
Python Developer,"Mesa, AZ","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",51307,56788,62809,66892,70608
Python Developer,"Sacramento, CA","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",56136,62134,68721,73188,77255
Python Developer,"Atlanta, GA","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",50839,56271,62237,66282,69965
Python Developer,"Kansas City, MO","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",50839,56271,62237,66282,69965
Python Developer,"Colorado Springs, CO","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",51670,57191,63254,67366,71109
Python Developer,"Omaha, NE","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",49385,54662,60457,64387,67964
Python Developer,"Raleigh, NC","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",50631,56041,61983,66011,69679
Python Developer,"Miami, FL","Frontend Developer I develops user interfaces for websites and web-based applications. Translates design mockups and wireframes into code for website and web-based application UI. Being a Frontend Developer I designs prototypes; writes and tests code for new or existing applications. Identifies new technologies that can add additional visual display capabilities and enhance site usability. Additionally, Frontend Developer I supports backend integration and maintains graphic standards and branding throughout the UI. Has knowledge of commonly used languages and frameworks, including HTML, CSS, JavaScript, jQuery, Ajax, and Bootstrap. Typically requires a bachelor&#39;s degree in area of specialty. Typically reports to a project leader or manager. The Frontend Developer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a Frontend Developer I typically requires 0-2 years of related experience.",50112,55466,61347,65334,68965
